Address,Name,Size,Type,Value,Bytes,Gain,Offset,Maximum,Minimum
Show,Black,White,1000,CLA Control Status,uint16_t,Bin,0b00000000_00110111,2,,,,
Show,White,Red,1001,CLA Error Status,uint16_t,Bin,0b00000000_00000000,2,,,,
Show,Black,White,1002,Enable PWM,uint16_t,Dec,0,2,,,,
Show,Black,White,1003,Control Mode,uint16_t,Bin,0b00000000_00000000,2,,,,
Show,Black,White,1004,Voltage Reference,q15,Dec,19.99878,2,60.0,0,60,0.0
Show,Black,White,1005,Positive Current Limit,q15,Dec,6.99997,2,25,0,25,0
Show,0,White,1006,Negative Current Limit,q15,Dec,-6.99997,2,25,0,0,-25
Hide,0,White,1007,Reserved0,uint16_t,Hex,0x0000,2,,,,
Show,Red,White,1008,Over Current Protection,q15,Dec,9.99985,2,25,0,,
Show,Red,White,1009,Over IL Current Protection,q15,Dec,9.99985,2,25,0,,
Show,Red,White,1010,Over EL Current Protection,q15,Dec,0.99976,2,20,0,,
Show,Red,White,1011,Over Voltage Protection,q15,Dec,30,2,60,0,,
Show,Blue,White,1012,Measure Voltage Output,q15,Dec,0.17395,2,60.0,0,,
Show,Blue,White,1013,Measure Voltage Input,q15,Dec,0.00244,2,80.0,0,,
Show,Blue,White,1014,Measure Current Output,q15,Dec,-0.01831,2,25.0,0,,
Show,Blue,White,1015,Measure Inductor Current,q15,Dec,-0.01755,2,25.0,0,,
Show,Blue,White,1016,Measure E-Load Current,q15,Dec,0,2,20.0,0,,
Hide,Green,White,1017,DAC Channel,uint16_t,Dec,1,2,,,3,1
Hide,Green,White,1018,DAC Ch Data Reference,q15,Dec,0,2,20,0,20,0
Hide,Green,White,1019,E-Load Von Reference,q15,Dec,4.99878,2,60,0,,
Hide,Green,White,1020,DAC SPI Format,uint32_t,Hex,0x00010000,4,,,,
Hide,Green,White,1022,Enable EL,uint16_t,Dec,0,2,,,,
Hide,White,Red,1023,E-Load Error Status,uint16_t,Hex,0x0000,2,,,,
Hide,Green,White,1024,E-Load LDNO Status,uint16_t,Hex,0x0000,2,,,,
Hide,Green,White,1025,E-Load Von Enable,uint16_t,Dec,1,2,,,,
Hide,Black,White,1026,Reserved1,uint16_t,Hex,0x0000,2,,,,
Show,Black,White,1027,Measure Temperature,q15,Dec,0,2,100,0,,
Show,Black,White,1028,Firmware Build Date,uint32_t,Dec,2023083110,4,,,,
Show,Black,White,1030,Voltage Loop KP,float32_t,Dec,2,4,,,,
Show,Black,White,1032,Voltage Loop KI,float32_t,Dec,0.02,4,,,,
Show,Black,White,1034,Voltage Loop Maximum,float32_t,Dec,1,4,,,,
Show,Black,White,1036,Voltage Loop Minimum,float32_t,Dec,-1,4,,,,
Show,Black,White,1038,Current Loop KP,float32_t,Dec,1,4,,,,
Show,Black,White,1040,Current Loop KI,float32_t,Dec,0.1,4,,,,
Show,Black,White,1042,Current Loop Maximum,float32_t,Dec,1,4,,,,
Show,Black,White,1044,Current Loop Minimum,float32_t,Dec,-1,4,,,,
Show,Black,White,1046,Heartbeat C28,uint32_t,Dec,101301499,4,,,,
Show,Black,White,1048,Heartbeat CLA,uint32_t,Dec,28387600,4,,,,
Show,Black,White,1050,,uint16_t,Hex,0xFFFF,2,,,,
